Oplot,Pplot,Pweed,Pinsect,Oweed,Oinsect,Family,weight,Dam,Leaves,%Dam,flower,pods,survive,fecundity,,Plot,#surv,insect,weed,#start,%survival
19,4,0,1,0,1,11,2.8513,,,,,,0,,,,,,,,
19,5,1,1,0,1,20,4.4011,0,8,0,1,0,1,1,,,,,,,
19,5,1,1,0,1,28,4.4441,2,11,0.045,2,0,1,2,,,,,,,
19,7,0,0,0,1,29,3.3197,1,5,0.05,1,0,1,1,,,,,,,
19,7,0,0,0,1,29,2.5109,7,9,0.194,0,2,1,2,,,,,,,
19,7,0,0,0,1,2,3.9834,10,13,0.192,2,3,1,5,,,,,,,
19,7,0,0,0,1,29,2.9795,,,,,,0,,,,,,,,
19,8,1,0,0,1,10,2.4692,2,6,0.083,1,0,1,1,,,,,,,
19,8,1,0,0,1,23,3.8564,6,8,0.188,2,0,1,2,,,,,,,
19,8,1,0,0,1,10,3.8632,,,,,,0,,,,,,,,
19,8,1,0,0,1,10,3.7259,,,,,,0,,,,,,,,
19,10,1,0,0,1,29,2.5091,3,3,0.25,0,0,1,0,,,,,,,
19,10,1,0,0,1,30,2.9147,1,4,0.063,0,0,1,0,,,,,,,
19,10,1,0,0,1,10,2.6256,1,6,0.042,1,0,1,1,,,,,,,
19,10,1,0,0,1,27,3.8136,4,15,0.067,1,4,1,5,,,,,,,
19,13,1,1,0,1,24,4.3581,3,7,0.107,1,2,1,3,,,,,,,
19,14,1,0,0,1,23,3.7066,1,8,0.031,0,2,1,2,,,,,,,
19,17,1,1,0,1,26,3.6786,4,8,0.125,2,0,1,2,,,,,,,
19,18,0,1,0,1,5,4.3847,,,,,,0,,,,,,,,
19,19,0,1,0,1,30,3.8,0,1,0,1,0,1,1,,,,,,,
19,19,0,1,0,1,29,3.3661,,,,,,0,,,,,,,,
19,19,0,1,0,1,15,3.4466,,,,,,0,,,,,,,,
19,20,0,0,0,1,5,5.8827,7,17,0.103,2,2,1,4,,,,,,,
19,21,1,0,0,1,28,0.5989,0,8,0,1,0,1,1,,,,,,,
19,23,1,1,0,1,18,3.3705,3,14,0.054,0,3,1,3,,,,,,,
19,23,1,1,0,1,17,4.1214,,,,,,0,,,,,,,,
19,23,1,1,0,1,27,4.6037,,,,,,0,,,,,,,,
20,5,1,1,1,1,30,4.3833,0,6,0,1,0,1,1,,,,,,,
20,5,1,1,1,1,16,4.2034,,,,,,0,,,,,,,,
20,6,0,0,1,1,6,2.023,0,12,0,0,1,1,1,,,,,,,
20,6,0,0,1,1,20,2.3843,,,,,,0,,,,,,,,
20,6,0,0,1,1,6,2.1083,,,,,,0,,,,,,,,
20,7,0,0,1,1,7,4.2792,,,,,,0,,,,,,,,
20,10,1,0,1,1,8,4.6187,2,12,0.042,0,4,1,4,,,,,,,
20,10,1,0,1,1,30,3.6854,,,,,,0,,,,,,,,
20,11,0,1,1,1,14,3.2602,,,,,,0,,,,,,,,
20,13,1,1,1,1,18,3.2199,1,9,0.028,1,1,1,2,,,,,,,
20,13,1,1,1,1,22,2.6593,2,12,0.042,1,1,1,2,,,,,,,
20,13,1,1,1,1,8,2.2751,,,,,,0,,,,,,,,
